CD4_naive	CD8_naive	Cytotoxic	Exhausted	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Central_memory	Effector_memory	Th cells	Tregs	Fibroblast	NKT	Endothelial cells	Mast	MAIT	DC	B cells	Monocyte	Macrophages	NK cells	Neutrophil	Gamma_delta	T cells CD4	T cells CD8
SEP9	MAN1C1	KNG1	ADGRG1	CCR4	FOXP3	FOXP3	IFNG	GZMK	IL1R1	CA8	CORO7	APBA3	IFNG	FOXP3	ACTA2	CASP5	BDCA-3	CCL4	CD8A	BLVRB	AFTPH	IL7R	ARPC4	DNAJB14	IL18RAP	KLRG1	SELL	CD27
CD2	CRTAM	PSORS1C2	AFAP1L2	CD5	STAT5A	STAT5A	IL2	IL4	RORC	CD2	ATM	CD160	IL2	STAT5A	C1R	DOLK	CD102	CD117	CD8B	C1QA	AHSP	APOC3	ATP6V0E1	IL18RAP	BMX	CYP4A11	NT5E	CD8B
CD3G	BLNK	BLNK	CCND2	CTLA4	DUSP4	CCR8	MNAT1	GATA3	CD4	CD3G	GMEB2	CD2	MNAT1	CCR8	COL1A1	GMIP	CD106	CD69	CERK	C1QB	ANXA3	ADCY8	BPI	IL2RB	BTNL8	CCR5	ITK	CLUAP1
CD4	CCR7	SCN3A	CD38	HS3ST3B1	CD4	CD5	SLAMF1	GSTA4	IL21	GZMM	SNRPN	CD8B	SLAMF1	CD5	COL3A1	PRR5L	CD112	KIT	FLT4	CSF1R	CNOT1	CLCA4	C1QA	KIR2DL3	CASP5	GZMH	TRMT2B	CRTAM
GIMAP6	KERA	TNFRSF10C	CD8A	ICOS	CTLA4	HS3ST3B1	STAT1	SLC25A44	IL17RA	ITK	ADSL	CDK10	STAT1	HS3ST3B1	DCN	SGCA	CD13	TPSAB1	TBC1D31	CXCR3	HLA-DPB1	CPA2	C1QB	KIR3DL2	CLC	ACD	AAK1	FKTN
GLG1	ZNF208	ITGAM	CD8B	IL10RA	TNFRSF9	TTN	EIF2B2	CXCR6	IL1R2	KLRB1	ITK	CDKN2AIP	EIF2B2	TTN	FAP	SLAMF1	CD133	ABCC4	DKK3	FGL2	HLA-DQA1	DPP6	CAMP	NCR1	CXCR1	CHST12	CD4	KLRG1
HMOX2	TREM1	KLRK1	CHST12	IPCEF1	IL10RA	CTLA4	APBB2	RRAS2	STAT3	LTA	TFAP4	CHST12	APBB2	CTLA4	FSP1	TCOF1	CD141	ADCYAP1	GPR171	GZMB	LSM6	HSPB6	CHIT1	NCR3	CXCR2	GZMA	GPR183	LY9
IL7R	CD8A	CD8A	CTLA4	CD4	IL2RA	FASLG	CCL4	GZMA	RORA	MAP4K1	NAA16	COG4	CCL4	FASLG	LOX	TGFBR2	CD143	CALB2	NR1D1	IL21R	MEFV	KNG1	CLEC5A	PSMD4	FCGR3B	GZMB	KLHL3	PLCG1
ITK	CD8B	GNLY	DFNB31	FOXP3	CD5	ICOS	CTLA4	CDK2AP1	IL17A	ST8SIA1	LY9	CX3CR1	CTLA4	ICOS	MYH11	TP53TG5	CD144	CEACAM8	SLAMF1	KCNA5	MS4A1	KLRK1	CLIP1	SPON2	FPR2	LAG3	CCR4	RING1
LIMD2	GPR15	GZMH	EOMES	TNFRSF4	SIT1	CCR3	GGT1	RGS9		TRAC	CYLD	DHX16	GGT1	CCR3	PDGFRA	PHKG1	CD146	CMA1	TC2N	KCNC3	NMUR1	GZMH	CSF1R	XCL1	HSPA6	NKG7	ITIH4	SF1
LY9	HTR1B	PTGDR2	FUT8	CD28	STAT5B	GALNT8	LTA	IL5		TRAV9-2	GIMAP4	EWSR1	LTA	GALNT8	PDPN	AMBN	CD147	CPA3	LST1	KCTD5	PADI4	KLRB1	CYBB	C1QB	MEFV	PRF1	DLEC1	SIRPG
NAA16	SMCP	CD8B	ITM2A	LAX1	BANP	NFATC3	SYNGR3	IL13		TRIB2	PURA	GIMAP6	SYNGR3	NFATC3	SPARCL1	L1TD1	CD150	CTSG	ME1	LILRB4	PYGM	SGCA	FGR	CALY	PADI4	PVRIG	ZAP70	TSPAN32
OBSCN	NKTR	GZMA	LAG3		FASLG	SIT1	TACO1	MAD2L1		UBASH3A	DVL1	GPR171	TACO1	SIT1	THY1	S100B	CD151	ELA2	CA2	LMAN2L	STRN4	CA1	GGA1	CD37	S100A12	TINF2	PLXDC1	ARHGEF1
PACS1	PSG11	PRF1	MYO1E		LAIR2	CD28	CXCR6	RRM2		SIK1	RPP38	GZMK	CXCR6	CD28	COL1A2	GEMIN7	CD160	GATA2	KLRB1	NFKB1	TRAF3	TLR8	GRB2	CLEC10A	TREML2	ZMAT5	CD40LG	EEF1D
PLCL1	SLC17A4	TBX21	NDFIP2		STAM	IL10RA	TBX21	BAG2		FOSB	LRIG2	HMOX2	TBX21	IL10RA	COL6A1	BEST1	CD18	HDC	SLC4A10	PLD2	TCL6	CYBB	IFNAR1	CRTAM	TRPM6	C1orf61	LAX1	PPP1R2
RPL14	RRH	PRDM1	PARK7		UBE4A	PPM1B	IL12RB1	CEP55		SH2D1A	IL7R	IKZF3	IL12RB1	PPM1B	COL6A2	ARPC1A	CD206	HPGD	CD44	PTCRA	BLK	IGSF6	IGSF6	CSF2RB	SIGLEC5	GNLY	TNFRSF4	CTSW
SNPH	SMR3B	MPO	PDCD1		VPS54	ATG2B	STAT4	NUP37		IL21	CDKN2AIP	ITK	STAT4	ATG2B	COL6A3	RARA	CD248	HPGDS	CXCR6	PTGIR	WNT16	KLRF1	IL17RA	CX3CR1	CREB5	LCP2	GPR171	FBXW4
TPP2	CA14	CD28	SIRPG		ZCCHC8	CCR4	CHD1L	NPHP4		BCL6	APBB1	KLRD1	CHD1L	CCR4	CXCL14	GFOD1	CD299	LINC01140	IL23R	SIGLEC1	CD37	CYP4F3	LILRA2	GZMB	ALPL	PSTPIP1	LY9	ZNF611
TRAF1	FXYD7	CTSW	SNX9			ZFYVE9	CHD4	GPR15		SLAMF1	IPCEF1	KLRG1	CHD4	ZFYVE9	LUM	CYP4A11	CD309	MAOB	COLQ	SLAMF8	CD19	CLEC10A	MARCO	IL7R	AATK	PTPN4	NCK2	GZMH
ZBTB40	CCDC87	GZMB	CD244			IL2RA	CSTF1	SMAD2		PVRIG	CD247	MAPKAPK5	CSTF1	IL2RA	DPT	GSG1	CD31	MLPH	DPP4	SLC15A3	HRH4	FOLR2	MMP8	KNG1	CEACAM3	RALY	PLCG1	CD8A
CD40LG	LIN28A	KLRB1	CXCL13			SMAD2	LAG3	RAD50		CD40LG	CD40LG	MORC2	LAG3	SMAD2	ISLR	IL17B	CD324	MPO	ZBTB16	SYT17	CA1	LTBR	MS4A6A	MAN1C1	CSF2RB	TAB2	ARHGAP15	TTN
ANKRD55	MOGAT2	KLRD1	CXCR6			SMAD4	POLD2	TMEM39B		CD69	TRADD	MRFAP1L1	POLD2	SMAD4	PODN	KLHL26	CD34	MS4A2	RORC	VAV2	COL19A1	MAP3K2	OTUD4	PRR5L	CSF3R	TDP1	ATXN7	CD7
CA5B	TNKS2	NKG7	HLA-DRA			KLRC2	PPM1G	UBAP2		ATHL1	CD3E	PLCG1	PPM1G	KLRC2	CD248	PMFBP1	CD36	NR0B1	IL18RAP	CA8	GNG3	NUP214	PSME1	SYT17	FBXO38	DUSP2	CCR7	CX3CR1
CCR7	GJB4	KLRF1	IFNG				SNRPC	THADA		BCL11B	TPR	PSMC5	SNRPC	DUSP4	FGF7	CD16	CD39	PPM1H	CD40LG	CALY	PLIN1	OSBPL11	RENBP	CSF3	MAK	KLRD1	CD6	CD96
