ligand,receptor,species
SEMA3F,PLXNA3,Human
SEMA3F,PLXNA1,Human
SEMA3F,NRP1,Human
SEMA3F,NRP2,Human
CX3CL1,CX3CR1,Human
HEBP1,ADRA2A,Human
HEBP1,MTNR1A,Human
HEBP1,FPR3,Human
HEBP1,GRM7,Human
DCN,EGFR,Human
DCN,MET,Human
DCN,ERBB4,Human
GRN,TNFRSF1A,Human
GRN,EGFR,Human
GRN,SORT1,Human
GRN,TNFRSF1B,Human
GRN,CLEC4M,Human
UTS2,UTS2R,Human
ICAM3,ITGAL,Human
ICAM3,ITGB2,Human
ICAM3,CLEC4M,Human
ICAM3,CD209,Human
ICAM3,ITGAD,Human
CEACAM1,EGFR,Human
CEACAM1,SELE,Human
CEACAM1,CD209,Human
PRLH,PRLHR,Human
FGF4,FGFR2,Human
FGF4,FGFR4,Human
FGF4,FGFR1,Human
FGF4,FGFR3,Human
FGF4,NRP1,Human
ST6GAL1,EGFR,Human
NTN1,UNC5D,Human
NTN1,UNC5B,Human
NTN1,DCC,Human
NTN1,UNC5A,Human
NTN1,ADORA2B,Human
NTN1,UNC5C,Human
NTN1,NEO1,Human
SCT,PTH1R,Human
SCT,ADCYAP1R1,Human
SCT,RAMP2,Human
SCT,VIPR1,Human
SCT,RAMP3,Human
SCT,GPR20,Human
SCT,ADRB2,Human
SCT,VIPR2,Human
SCT,ADRB3,Human
SCT,TSHR,Human
SCT,GPR84,Human
FGF20,FGFR2,Human
FGF20,FGFR4,Human
FGF20,FGFR1,Human
FGF20,FGFR3,Human
CEACAM6,EGFR,Human
THPO,MPL,Human
EFNB1,EPHB6,Human
EFNB1,EPHB4,Human
EFNB1,ERBB2,Human
EFNB1,EPHB1,Human
EFNB1,EPHB3,Human
EFNB1,EPHB2,Human
EFNB1,EPHA4,Human
EFNB1,EPHA6,Human
DLL3,NOTCH1,Human
DLL3,NOTCH4,Human
DLL3,NOTCH2,Human
DLL3,NOTCH3,Human
SEMA4G,PLXNB2,Human
VCL,ITGB5,Human
VCL,ALK,Human
EFNA2,EPHA7,Human
EFNA2,EPHA10,Human
EFNA2,EPHA3,Human
EFNA2,EPHA1,Human
EFNA2,EPHA5,Human
EFNA2,EPHA4,Human
EFNA2,EPHA6,Human
EFNA2,EPHA2,Human
FGF22,FGFR2,Human
FGF22,FGFR1,Human
MADCAM1,ITGA4,Human
MADCAM1,CD44,Human
MADCAM1,ITGB7,Human
MIF,CXCR4,Human
MIF,CD44,Human
MIF,EGFR,Human
MIF,CXCR2,Human
OSM,LIFR,Human
OSM,IL6ST,Human
OSM,OSMR,Human
TCN2,LRP2,Human
TCN2,CNR1,Human
LGALS1,ITGB1,Human
LGALS1,PTPRC,Human
NID2,COL13A1,Human
GZMB,CHRM3,Human
GZMB,IGF2R,Human
RSPO4,LGR6,Human
RSPO4,LGR4,Human
RSPO4,LGR5,Human
OXT,AVPR2,Human
OXT,AVPR1B,Human
OXT,AVPR1A,Human
OXT,OXTR,Human
F9,LRP1,Human
PCSK1N,GPR171,Human
TIMP1,FGFR2,Human
TIMP1,CD63,Human
MMP2,PECAM1,Human
MMP2,CCR2,Human
MMP2,SDC2,Human
MMP2,FGFR1,Human
CCL22,CCR4,Human
CCL22,DPP4,Human
