B cells,cDC cells,Endothelial cells,Fibroblasts,M1,Macrophages M2,Mast cells,Monocytes,Myofibroblasts,NK cells,pDC cells,Plasma cells,CD4Tn,T CD4 effector cells,CD8Tcm,CD8Teff,CD8Tem,CD8Tex,T CD8 naive cells,Tfh,Tprolif,Th1 cells,Th17,Th2,Treg
ABCB4,CADM1,ADAM15,ABI3BP,CCL4,ARG1,ABCC4,ARHGDIB,CST1,JUN,ALOX5AP,ABCB9,AAK1,CD3D,CD27,CX3CR1,ADAM8,RPL8,AAK1,AC004585.1,RPL8,AC005332.3,CCR6,AC005842.1,ANXA2P2
ACTR3,ABCG2,ADCY4,ACTA2,CCR7,CSF1R,ADAMTS3,RHOA,CTGF,CD247,UGCG,AMPDCD1,ABLIM1,CD3E,CCR7,GZMH,ADRB2,EEF2,ABHD17A,AC008771.1,EEF2,ADAM8,KLRB1,AC020571.1,ARID5B
ADAM28,BATF3,AFAP1L1,ADAM33,IL7R,CD14,ADCYAP1,GRN,TAGLN,CALM1,SMPD3,ANKRD28,ACAP1,CD4,MAL,GZMA,CAPN2,RPS16,ABLIM1,AC079336.5,RPS16,ALCAM,CAPG,AC234772.2,ATG2B
AFF3,BLVRB,ANGPT2,ADAMTS2,CD16,CD163,ARHGAP15,PRR13,ACTA2,CD7,CD4,ARSA,ACBD4,GNLY,MYC,GZMB,CASP8,RPL41,ACTN1,AL109914.1,RPL41,APBB2,CD3D,ACVR2A,ATP2B1
AHNAK,BTLA,APOLD1,AMOTL2,CD32,CXCR4,CALB2,CEBPB,MCAM,RBM39,IRF7,ARX,ACTN1,GZMA,SELL,GZMK,CX3CR1,CD2,ADGRG1,AP003716.1,CD2,APOD,CD3E,ADCY1,B3GNT2
AID,CARD9,APP,ANTXR1,SELP,CD209,CTSA,LST1,MYLK,PRF1,JCHAIN,BHLHE41,ADTRP,GZMB,TCF7,NKG7,EMP3,GPSM3,AIF1,ATHL1,S100A4,ATP9A,CD3G,AFAP1,BACH2
AIM2,CCL1,ARHGAP29,AOX1,CD68,CD36,CCL4,CD48,MYL9,ZFP36,BCL11A,BRSK1,ANKRD12,GZMK,SOCS3,CCL5,FCGR3A,CD69,AKNA,BATF,RPS15A,B3GALNT1,CD4,AFF2,BANP
AKNA,CCL13,CCBP2,C1R,CD80,CHI3L1,CSF2RA,DAZAP2,IL6,NKG7,CD99,CADM1,ANKRD55,IFNG,RCAN3,ZEB2,FCGR3B,FYN,AMBN,BCL11B,RPS21,BBS12,CTSH,AHI1,BATF
ALOX5,CCL17,CCL14,C1S,CD86,DCIR,IL3RA,MNDA,PDGFA,CTSW,EIF4A3,CADPS2,APBB1,KLRB1,NOSIP,FGFBP2,FGR,S100A4,ANXA6,BCL6,RPS3A,BST1,FURIN,AI582773,BIRC3
ALOX5AP,CCL22,ICAM2,C3,CXCL10,FCER1A,IL5RA,HLA-DRB5,TSPAN8,RAP1B,RNASET2,CCR10,AQP3,PRDM1,LEF1,CD8A,FLNA,ANKRD12,APBA2,CA8,RPS3,BST2,IL23R,AKAP12,CASP2
APRIL,CD11c,VCAM1,CA12,IL12A,FIZZ1,IL6R,AP1S2,PAMR1,CST7,PTCRA,KIT,ARFRP1,PRF1,TSHZ2,PRDM1,GLUL,RPS15A,APEX1,CALY,RPL13,BTG3,IL17A,ALS2CL,CCDC141
