B cells,cDC cells,Endothelial cells,Fibroblasts,Macrophages M1,Macrophages M2,Mast cells,Monocytes,Myofibroblasts,NK cells,pDC cells,Plasma cells,T CD4 naive cells,T CD4 effector cells,T CD8 central memory cells,T CD8 effector cells,T CD8 effector memory cells,T CD8 exhausted cells,T CD8 naive cells,Tfh cells,Tprolifs,Th1 cells,Th17 cells,Th2 cells,Tregs,MAIT,T CD4 conventional cells
ABCB4,BTLA,ADAM15,ABI3BP,BCL2A1,ARG1,ABCC4,ARHGDIB,CST1,JUN,ALOX5AP,ABCB9,EIF3L,SELL,CCR7,CCL5,PATL2,CTLA4,ABLIM1,CXCR5,MKI67,CXCR3,CCR6,BCL6,ANXA2P2,CD28,ITGA4
ABCB9,C1orf54,ADCY4,ACTA2,CCL2,CSF1R,ADAMTS3,RHOA,CTGF,ADARB1,UGCG,AMPDCD1,ACTN1,GZMK,CD27,CD45RA,SRPK2,HLA-DRB1,ACTN1,PDCD1,CD8A,CXCR5,KLRB1,CCR6,ARID5B,KLRB1,IL2RA
ABHD10,CADM1,AFAP1L1,ADAM33,CCL4,CD14,ADCYAP1,GRN,TAGLN,ALDH1B1,SMPD3,ANKRD28,FHIT,KLRB1,CD8A,CD3,CAPN2,ENTPD1,AIF1,MME,TYMS,CCR5,CAPG,CD4,ATG2B,RORC,TRAT1
ACAD10,CCL19,ANGPT2,ADAMTS2,CCL5,CD163,ARHGAP15,PRR13,ACTA2,B3GAT1,CD4,ARSA,TXK,PRF1,IL7R,CD3D,SLC9A3R1,KRT86,APBA2,TIGIT,CD3D,KLRB1,CD3D,CXCL13,ATP2B1,IL23R,IKZF2
ACBD3,CCL22,APOLD1,AMOTL2,CCR7,CXCR4,CALB2,CEBPB,MCAM,BCL2,IRF7,ARX,SERINC5,GZMA,LEF1,CD3E,GZMB,LY6E,APEX1,CD200,CD4,CCR6,CD3E,CXCR3,B3GNT2,TLE1,FOXP3
ACP5,CCR7,APP,ANTXR1,CD163,CD209,CTSA,LST1,MYLK,CASP5,JCHAIN,BHLHE41,EEF1B2,IFNG,MAL,CD8,GNLY,IFI6,ARHGAP45,PDCD1,PTPRC,CCR4,CD3G,ICA1,BACH2,SLC4A10,IL17A
ACSM2A,CD1B,ARHGAP29,AOX1,CD38,CD36,CCL4,CD48,MYL9,CCL19,BCL11A,BRSK1,C1orf162,GZMB,MYC,CD8A,EFHD2,IFI27,ARHGEF18,TOX2,TUBA1B,CD4,CD4,ICOS,BANP,ZBTB16,IL7R
ACSM2B,CD1C,CCBP2,C1R,CD40,CHI3L1,CSF2RA,DAZAP2,IL6,CCL3,CD99,CADM1,CD55,CD3D,NOSIP,GZMA,TTC16,HLA-DQA2,ARMH1,IL21,,IFNG,CTSH,MAF,BATF,ME1,DUSP1
ACSM3,CD1E,CCL14,C1S,CD68,DCIR,IL3RA,MNDA,PDGFA,CCL4,EIF4A3,CADPS2,SATB1,PRDM1,RCAN3,HLA-DRs,SPON2,IFI44,ATM,BCL6,,CCL4,FURIN,MALAT1,BIRC3,CCR6,CD3G
ADAM19,CD33,ICAM2,C3,CD80,FCER1A,IL5RA,HLA-DRB5,TSPAN8,CCL5,RNASET2,CCR10,ABLIM1,CD4,SELL,ZEB2,SYNE1,OAS1,BACH2,CD40LG,,TBX21,IL23R,MME,CASP2,TRGV9,CD3D
ADAM28,CD4,VCAM1,CA12,CD83,FIZZ1,IL6R,AP1S2,PAMR1,CCR4,PTCRA,KIT,RPS5,GNLY,SOCS3,FGFBP2,RGS19,PRF1,BEX4,GPR183,,TNF,IL17A,PDCD1,CCDC141,IL17RA,CD40LG
ADGRE5,CD59,NECTIN2,CCDC80,CD86,IDO,CD15,CFD,SCARA3,CCR7,MS4A6A,CD19,SLC40A1,COTL1,TCF7,CX3CR1,TTC38,HAVCR2,C1orf162,MALAT1,,STAT1,IL1R1,TIGIT,CCL3L1,DPP4,VCL
ADNP,CLEC10A,ANPEP,CD248,CXCL10,IL10,CD24,FTH1,WIF1,CD14,SLC20A1,CD20,TESPA1,LDHB,TSHZ2,GNLY,ARHGAP25,CXCL13,CA6,LTB,,STAT4,IL1R2,TNFRSF4,CCM2,NCR3,FCGR3B
AFF3,CLEC9A,PROM1,CKAP4,CXCL11,IRF4,CR1,SRGN,TGFBI,CD160,APP,LY9,SVIL,CD3E,CD44,GPR183,FUT11,HLA-DRB5,CAMK4,TNFRSF4,,ZEB2,IL26,TOX2,CCR10,IL7R,LILRB1
AFF4,CXCR4,ACE,CLDN11,CXCL12,MS4A4A,SPN,HLA-DRB1,TNC,CD163,HSP90B1,CD24,SNHG32,CD8A,,GZMB,AGTPBP1,HLA-DRA,CCR7,ICOS,,ATOH7,ITGAE,LTB,CCR3,TRAV1-2,ADAM8
AHCYL1,EBI3,CDH5,COL14A1,CXCL8,STAT6,FCGR1A,ANXA2,BCHE,CD19,GZMB,CD27,GIMAP8,,,PRDM1,AHNAK,ALOX5AP,CD248,TIGIT,,PTPRC,RORA,CD40LG,CCR8,ITGAE,LITAF
AHNAK,FCER1A,MCAM,COL1A1,CXCL9,TRAIL,CD69,ASAH1,FGF18,CD2,SPCS1,PECAM19,LRRN3,,,Cd8b1,VEZF1,MX1,CD27,MAF,,CD4,RORC,GPR183,CD101,CD69,OSBPL5
AICDA,H4C3,BSG,COL1A2,FCGR1A,VSIG4,CD9,FGL2,LUZP2,CD226,RNASE6,CD38,TMEM204,,,Cd3g,PLEKHG3,GZMB,CD28,CXCL13,,IFNG,STAT3,CXCR6,ITGAE,ITGAM,TGFBR3
AIDA,HLA-DPB1,SLAMF1,COL3A1,FCGR1CP,SIGLEC1,CEACAM8,MAFB,CD9,CD244,LTB,CD40,GIMAP5,,,Lck,FCGR3A,ISG15,CD3D,PDCD1,,LRP8,,MYO7A, IL1R1,GLUL,EMP3
AIM2,HLA-DQA1,CD151,COL5A2,FCGR2A,CCL22,CMA1,SERPINB1,CFH,CD247,MAP1A,ICAM1,LDLRAP1,,,Hcst,ZEB2,CD82,CD3E,CXCR5,,DPP4,,SLC7A10,IL1R2,RASSF1,CASP8
AKAP12,HLA-DQB1,CD160,COL6A1,FCGR3A,CCR5,CPA3,LRRFIP1,DPT,CD27,STMN1,CD79A,SNHG29,,,Ms4a4b,C12orf75,IFIT3,CD4,ICOS,,SGCB,,ZNF764,IL5RA,SH3BP5-AS1,BIN2
AKAP8L,ID2,ITGB2,COL6A2,FOS,CD200R1,CPM,RNASET2,TYRP1,CD34,IRF4,CD79B,NELL2,,,GZMH,C1orf21,IFITM3,CD55,PDCD1,,HBEGF,,THADA,IL7R,PRKCB,RAP1GAP2
AKR1C1,IRF4,MRC1,COL6A3,FPR3,CD33,CTSG,MS4A6A,LINC00632,CD38,OFD1,CD9,RSL1D1,,,GZMK,LPCAT1,BST2,CD8A,TNFRSF4,,LTA,,SH3TC1,ANPEP7,PLEK,CXCR4
ALG14,IRF8,CD248,CPE,HLA-DRA,CD40,EGR3,PLAUR,ROBO2,CD3D,GPX1,FAS,FAM117B,,,DUSP2,FLNA,GNLY,CD8B,PDCD1,,IL12RB2,,PTPN13,KLRB1,TM4SF19,CD44
ALG8,ITGAE,CLEC4M,CPXM1,IFI27,CD63,ELA2,PRELID1,HS3ST3A1,CD3E,FKBP2,CHPF,GPR183,,,NKG7,S1PR5,IFI44L,CEP68,ICOS,,CTLA4,,TOX,CXCR3,KLRF1,CD3E
ALKBH7,ITGAM,KDR,CRISPLD2,IL12A,CD68,FCER1A,BRI3,SFTA1P,CD3G,ERP29,CIBAR2,TRABD2A,,,GPR155,MYO1F,CCL3,COQ8A,CCR5,,BST2,,POMT1,CCR4,SAMD3,CD4
ALPL,ITGAX,PECAM1,CTGF,IL12B,CD80,FCN1,C1orf162,COL16A1,CD4,CLIC3,CLDN14,PRKCA,,,PRF1,CX3CR1,GZMK,DGKA,MME,,CD38,,ELAPOR1,CCR6,VCL,GZMK
AMN1,LAMP3,CDH1,CXCL12,IL1A,CD86,FTL,TAGLN2,NOTUM,CD40LG,PDIA4,CLDN3,CCR7,,,IGF1R,LGALS1,NKG7,EEF2,APCS,,CD70,,SIRPG,CCR7,FCGR3B,FGFBP2
