B cells,cDC cells,Endothelial cells,Fibroblasts,Macrophages M1,Macrophages M2,Mast cells,Monocytes,Myofibroblasts,NK cells,pDC cells,Plasma cells,T CD4 naive cells,T CD4 effector cells,T CD8 central memory cells,T CD8 effector cells,T CD8 effector memory cells,T CD8 exhausted cells,T CD8 naive cells,Tfh cells,Tprolifs,Th1 cells,Th17 cells,Th2 cells,Tregs,MAIT,T CD4 conventional cells
ABCB4,BTLA,ADAM15,ABI3BP,BCL2A1,ARG1,ABCC4,ARHGDIB,CST1,JUN,ALOX5AP,ABCB9,ABLIM1,SELL,CCR7,B3GAT1,ADAM8,CTLA4,ABLIM1,APCS,MKI67,CXCR3,CCR6,BCL6,ANXA2P2,CD28,ITGA4
ACTR3,C1orf54,ADCY4,ACTA2,CCL2,CSF1R,ADAMTS3,RHOA,CTGF,ADARB1,UGCG,AMPDCD1,ACTN1,GZMK,CD27,CCL5,ADGRG1,HLA-DRB1,ACTN1,B3GAT1,CD8A,CXCR5,KLRB1,CCR6,ARID5B,KLRB1,IL2RA
ADAM28,CADM1,AFAP1L1,ADAM33,CCL4,CD14,ADCYAP1,GRN,TAGLN,ALDH1B1,SMPD3,ANKRD28,C1orf162,KLRB1,CD8A,CCR7,ADRB2,ENTPD1,AIF1,BCL6,TYMS,CCR5,CAPG,CD4,ATG2B,RORC,TRAT1
AFF3,CCL19,ANGPT2,ADAMTS2,CCL5,CD163,ARHGAP15,PRR13,ACTA2,B3GAT1,CD4,ARSA,CCR7,PRF1,IL7R,CD244,AGTPBP1,KRT86,APBA2,CCR5,CD3D,KLRB1,CD3D,CXCL13,ATP2B1,IL23R,IKZF2
AHNAK,CCL22,APOLD1,AMOTL2,CCR7,CXCR4,CALB2,CEBPB,MCAM,BCL2,IRF7,ARX,CD27,GZMA,LEF1,CD27,AHNAK,LY6E,APEX1,CCR6,CD4,CCR6,CD3E,CXCR3,B3GNT2,TLE1,FOXP3
AID,CCR7,APP,ANTXR1,CD14,CD209,CTSA,LST1,MYLK,CASP5,JCHAIN,BHLHE41,CD28,IFNG,MAL,CD3D,ARHGAP25,IFI6,ARHGAP45,CD200,PTPRC,CCR4,CD3G,ICA1,BACH2,SLC4A10,IL17A
AIM2,CD1B,ARHGAP29,AOX1,CD163,CD36,CCL4,CD48,MYL9,CCL19,BCL11A,BRSK1,CD3D,GZMB,MYC,CD3E,ARL4C,IFI27,ARHGEF18,CD4,TUBA1B,CD4,CD4,ICOS,BANP,ZBTB16,IL7R
AKNA,CD1C,CCBP2,C1R,CD38,CHI3L1,CSF2RA,DAZAP2,IL6,CCL3,CD99,CADM1,CD3E,CD3D,NOSIP,CD3G,BIN2,HLA-DQA2,ARMH1,CD40LG,,IFNG,CTSH,MAF,BATF,ME1,DUSP1
ALOX5,CD1E,CCL14,C1S,CD40,DCIR,IL3RA,MNDA,PDGFA,CCL4,EIF4A3,CADPS2,CD3G,PRDM1,RCAN3,CD8A,C12orf75,IFI44,ATM,CDK5R1,,CCL4,FURIN,MALAT1,BIRC3,CCR6,CD3G
ALOX5AP,CD33,ICAM2,C3,CD68,FCER1A,IL5RA,HLA-DRB5,TSPAN8,CCL5,RNASET2,CCR10,CD4,CD4,SELL,CX3CR1,C1orf21,OAS1,BACH2,CHGB,,TBX21,IL23R,MME,CASP2,TRGV9,CD3D
