ACTR3,BATF3,ADAM15,CD33,ABCC4,ACTB,ACTA2,ARPC2,ALOX5AP,ANKRD28,AAK1,ADAM8,ACAP1,AAK1,BATF,B2M,ADAM8,AHI1,ARID5B
ADAM28,BLVRB,ANPEP,CD40,ARHGAP15,ACTG1,ALDH2,B2M,APP,ARSA,ABLIM1,ADRB2,ANKRD12,ABLIM1,BCL6,CALM1,ALCAM,BAG2,ATG2B
AHNAK,CD33,APOLD1,CD63,BMP2K,AHNAK,ATP1B1,BIN2,CCDC50,CD40,ACAP1,AGTPBP1,ANXA6,ACTN1,CD4,CCL5,BHLHE40,CD4,ATP2B1
AKNA,CD36,APP,CD68,C3AR1,AIF1,CCDC146,CALM1,CCDC88A,CD9,ACBD4,AHNAK,APOBEC3G,AIF1,CD69,CD44,BST2,CDK2AP1,B3GNT2
ALOX5,CSF1R,BSG,CLEC7A,CD33,ALDOA,CD9,CCL5,CD164,CRELD2,ACTN1,ARL4C,B2M,AKNA,CD7,CD52,BTG3,CXCR4,BANP
ALOX5AP,CTNS,CD151,ENG,CD69,ANXA1,CFH,CCND3,CD4,CXCR4,ANKRD12,BIN2,CALM1,ANXA6,DGKA,CD53,CCR1,DHFR,BATF
ARHGAP24,HLA-DQB1,CD36,FCGR1A,CD9,ANXA2,CYSLTR1,CD37,CD68,DNAJB9,AQP3,CAPN2,CCL5,APEX1,FBXL8,COX4I1,CD151,DUSP6,BIRC3
ARPC3,ID2,CD40,FCGR2A,CPM,ANXA5,ENC1,CD44,CD99,EAF2,ARFRP1,CASP8,CD44,APMAP,FOSB,CXCR4,CD4,EVI5,CASP2
ATP6V1G1,IRF8,CD81,FCGR2B,CSF2RA,AP1S2,LXN,CD52,CLIC3,ELL2,ATXN7,CCL5,CD48,APOBEC3G,GZMM,EEF1A1,CD44,FMN1,CCM2
B2M,ITGAE,CD9,FCGR3A,CTSA,APLP2,NEDD9,CD63,CTSB,ERLEC1,BMS1,CD300A,CD52,ARL4C,ICA1,EEF1B2,CD47,GALT,CD4
B4GALT1,LMAN2L,CD93,FUT4,FCGR1A,ARHGDIB,PKIG,CD69,DCK,FAS,CABIN1,CD44,CD53,ARPC5L,IL6ST,EEF1D,CD48,HELLS,CD52
BCL6,MS4A6A,ECE1,IL1B,FTL,ARPC1B,PSTPIP1,CD7,DDX17,FKBP11,CASP8,CDC42SE2,CD69,ATM,LAT,EEF2,CD52,IFIT2,CDC25B
BCL7A,NUDT9,ELK3,IRF5,GZMB,ARPC3,S100A10,CLEC2B,DHRS7,FKBP2,CD4,CEP78,CD7,B2M,LIMS1,EMP3,CD53,IFIT3,CLDND1
BRAF,OAS3,ENG,SOCS1,HSPA6,ARPC5,TAGLN,CST7,DUSP5,GNG7,CD55,CMC1,CDC42SE2,BCAS2,MAGEH1,HCST,CD59,IL11RA,CLEC2D
BTG1,PDXK,ENTPD1,SOCS3,IL1B,ARRB2,TGFBI,CTSW,EIF4A3,HDLBP,CD7,CXCR4,COX4I1,BEX4,MAP9,HIGD2A,CD68,IL4R,CMTM7
BTK,PPA1,F8,STAT1,IL6R,ASAH1,VCAN,DDIT4,EMP3,HERPUD1,CDK10,CYTH3,CST7,BIN1,PASK,HLA-A,CD7,LIMA1,CORO1B
CALR,PREP,FABP5,TLR2,PILRA,ATP6V0B,VIM,DUSP1,ERP29,HLA-DOB,CEPT1,DSTN,CTSW,BTN3A1,RGS1,HLA-F,CDC123,MAD2L1,CORO7
CARD16,SIRPA,FXYD6,TREM1,PTGS1,ATP6V1F,WDR91,DUSP2,FKBP2,HM13,CHMP7,DUSP2,CXCR4,BTN3A2,STAT3,IL2RG,CHD1L,MFHAS1,CPNE2
CASP4,SLC26A6,GFOD2,,RAB27B,B2M,,GNLY,GPR183,HSP90B1,CLUAP1,EFHD2,DDX24,BUD31,TCF7,ITGB2,CHD4,MICAL2,DGKA
CD14,,HAPLN3,,S100A4,BLOC1S1,,GZMB,GZMB,ICAM1,CMPK1,EMP3,DNAJB1,CALM1,TRIB2,JUN,CLEC7A,NUP37,ELK3
