group,index
0,NOP10
0,RPS5
0,HVCN1
0,TAGLN2
0,RPS9
0,ALOX5AP
0,BTG1
0,RPL13A
0,CD14
0,EEF1D
0,ARPC3
0,B4GALT1
0,RPS27
0,BTK
0,HHEX
0,CD52
0,RPS13
0,RPS4X
0,ITGB1
0,CYBA
0,PABPC1
0,RPS19
0,CXCR4
0,IL4R
0,RPS10
0,EEF1B2
0,RPL12
0,PLCG2
0,MEF2C
0,BRAF
0,RPS8
0,RAC2
0,RPL37
0,ADAM28
0,ACTR3
0,RPS3
0,RPL27
0,XBP1
0,RPL27A
0,RPL37A
0,NFKBIA
0,EAF2
0,EIF4A2
0,RASGRP2
0,CD53
0,STK4
0,LAPTM5
0,HLA-DMA
0,UBA52
0,HLA-DRB1
0,RPL28
0,RPS18
0,TRAF4
0,MICAL3
0,RPL30
0,PLAC8
0,RPL13
0,SWAP70
0,ATP6V1G1
0,NPM1
0,RPS6
0,LTB
0,TRIM22
0,RPL11
0,RPL38
0,AKNA
0,RPL39
0,RPL41
0,RPS7
0,PFDN5
0,EVI2B
0,B2M
0,FCGR2B
0,RPS21
0,TCF4
0,COX7C
0,TSC22D3
0,RPS2
0,SPN
0,RPL4
0,RPL15
0,ARHGAP24
0,RPL10
0,GNG7
0,RPS27A
0,RPS26
0,RHOH
0,RPL8
0,CALR
0,CLK1
0,RPL26
0,CD81
0,ZCCHC7
0,RPL36
0,THAP11
0,GPR183
0,CMTM6
0,POLD4
0,ALOX5
0,RPL7
0,RPL29
0,AHNAK
0,SSR1
0,TPD52
0,JUNB
0,RPSA
0,RPS12
0,COCH
0,CTSS
0,RPS15
0,CD40
0,CD99
0,CASP4
0,ITSN2
0,RPS14
0,NCF1
0,DRAM2
0,RPL9
0,PAPOLA
0,GMFG
0,FCGR2A
0,FAU
0,RPS3A
0,RPL36A
0,RPL32
0,RPS29
0,CD83
0,TMEM156
0,DTNB
0,PPP1R2
0,POU2F2
0,RPS24
0,SNX22
0,RPS15A
0,WDR74
0,CARD16
0,RALGPS2
0,RPL19
0,RPL18
0,RPS23
0,CD37
0,LY86
0,GTF3A
0,RPL3
0,HLA-A
0,RPL6
0,TBC1D10C
0,RPL23A
0,TNFSF13B
0,RPLP1
0,PLEKHF2
0,SNX2
0,LIMD2
0,SELL
0,TMEM243
0,CD48
0,RPL34
0,CD74
0,RPL35A
0,PTPRC
0,CD69
0,BCL7A
0,ERP29
0,S1PR4
0,HLA-DQB1
0,RPL18A
0,FAS
0,RNASET2
0,BCL6
0,RPL23
0,RPL21
0,RPLP2
0,RPL14
0,RPL5
0,PAIP2
0,QRSL1
0,RPS25
0,RPL7A
0,EEF1A1
0,OSTF1
0,PMAIP1
0,RPL22
0,IRF8
1,PREP
1,MS4A6A
1,CSF1R
1,OAS3
1,BLVRB
1,SIRPA
1,CD36
1,PDXK
1,CD33
1,PPA1
1,BATF3
1,CTNS
1,LMAN2L
1,SLC26A6
1,HLA-DQB1
1,ITGAE
1,ID2
1,NUDT9
1,IRF8
2,FABP5
2,APP
2,CD81
2,ENTPD1
2,PIEZO1
2,ENG
2,TNFRSF10A
2,HAPLN3
2,TNFRSF1A
2,TNFRSF10B
2,CD36
2,CD93
2,KLF4
2,NPDC1
2,ID1
2,TNFRSF1B
2,CD40
2,CD151
2,HYAL2
2,ANPEP
2,PKP4
2,ADAM15
2,PTPRC
2,CD9
2,RASA4
2,F8
2,TGFBR2
2,ECE1
2,FXYD6
2,ELK3
2,ITGB2
2,ICAM2
2,GFOD2
2,PRCP
2,BSG
2,ICAM1
2,PPM1F
2,RGL2
2,SMAD1
2,APOLD1
3,SOCS1
3,CD68
3,FCGR1A
3,CD63
3,CLEC7A
3,TLR2
3,IRF5
3,FCGR3A
3,ENG
3,TREM1
3,STAT1
3,FCGR2A
3,FUT4
3,IL1B
3,SOCS3
3,CD40
3,CD33
3,FCGR2B
4,GZMB
4,C3AR1
4,ARHGAP15
4,BMP2K
4,S100A4
4,FTL
4,IL1B
4,CD33
4,HSPA6
4,CTSA
4,TNFAIP1
4,PILRA
4,FCGR1A
4,IL6R
4,CD69
4,CD9
4,PTGS1
4,CPM
4,RAB27B
4,SPN
4,VWA5A
4,CSF2RA
4,ABCC4
5,TAGLN2
5,CTSH
5,BTG1
5,CD14
5,NPC2
5,ARPC3
5,CD52
5,CD68
5,FKBP1A
5,HLA-C
5,H2AFY
5,PSAP
5,CYBA
5,PABPC1
5,TPP1
5,TIMP1
5,ARHGDIB
5,CSTA
5,MAFB
5,CEBPD
5,PRELID1
5,LYN
5,PYCARD
5,HCLS1
5,COTL1
5,MCL1
5,GABARAP
5,SRGN
5,ANXA1
5,FCGRT
5,LST1
5,SOD2
5,S100A8
5,RNF130
5,CORO1A
5,APLP2
5,TSPO
5,NFKBIA
5,ANXA2
5,DUSP1
5,CD53
5,VCAN
5,SERPINB1
5,CEBPB
5,PRR13
5,ASAH1
5,LAPTM5
5,HLA-DMA
5,HLA-DRB1
5,ATP6V0B
5,GRN
5,SH3BGRL3
5,ZFAND5
5,DAZAP2
5,TYROBP
5,TNFRSF1B
5,S100A6
5,CTSB
5,TYMP
5,HCST
5,TMSB10
5,VAMP8
