NOP10,PREP,FABP5,SOCS1,GZMB,TAGLN2,CYSLTR1,GZMB,GZMB,EAF2,RPS5,GZMB,GZMB,GZMB,TRIB2,RPS5,GZMB,EVI5,SOCS1
RPS5,MS4A6A,APP,CD68,C3AR1,CTSH,VIM,DUSP1,PPP1R14B,HDLBP,VPS52,CEP78,RPS5,LYAR,CD7,TAGLN2,FIBP,TAF1B,SKAP1
HVCN1,CSF1R,CD81,FCGR1A,ARHGAP15,BTG1,LXN,CD63,HIGD1A,FKBP2,GIN1,LYAR,TAGLN2,CD7,GZMM,RPL13A,CD7,CDK2AP1,SAMHD1
TAGLN2,OAS3,ENTPD1,CD63,BMP2K,CD14,PSTPIP1,CD7,APP,HSP90B1,CDK10,VCL,ACAP1,NPAT,BATF,EEF1D,CSTF1,FMN1,SMAD4
RPS9,BLVRB,PIEZO1,CLEC7A,S100A4,NPC2,TAGLN,CLEC2B,FKBP2,UBE2J1,NAA16,TAGLN2,CD7,APOBEC3G,STAT3,RPS27,CYB561,IL11RA,LRP1
ALOX5AP,SIRPA,ENG,TLR2,FTL,ARPC3,PKIG,CD37,RRBP1,MANF,ACAP1,PIP4K2A,APOBEC3G,GPR155,FOSB,RPS16,CD52,OSBPL1A,USP15
BTG1,CD36,TNFRSF10A,IRF5,IL1B,CD52,NEDD9,CST7,ALOX5AP,RABAC1,CD7,RPS27,RPL13A,RFX2,MAGEH1,CD52,CD68,THADA,ENTPD1
RPL13A,PDXK,HAPLN3,FCGR3A,CD33,CD68,VCAN,RBM39,SEC61B,DNAJB9,RXRB,MBP,ANXA6,SERINC5,LAT,EEF2,BTG3,LIMA1,SELPLG
CD14,CD33,TNFRSF1A,ENG,HSPA6,FKBP1A,S100A10,HOPX,GPR183,HERPUD1,NPAT,SYNE2,EEF1D,ANXA6,ICA1,RPS13,GNLY,RNF125,CLEC2D
EEF1D,PPA1,TNFRSF10B,TREM1,CTSA,HLA-C,ENC1,GZMM,UBE2J1,TXNDC15,RPL13A,CMC1,RPS27,SOCS3,RGS1,RPS19,IGFLR1,IFIT3,RCAN3
ARPC3,BATF3,CD36,STAT1,TNFAIP1,H2AFY,ACTA2,CD52,MS4A6A,PDIA4,SERINC5,GNLY,RPS16,EEF1D,IL6ST,CXCR4,R3HDM1,GALT,HAPLN3
B4GALT1,CTNS,CD93,FCGR2A,PILRA,PSAP,ALDH2,PLAC8,CD164,ST6GALNAC4,SOCS3,CXCR4,CD52,PIP4K2A,LIMS1,RGS1,TRAF1,HELLS,B3GNT2
RPS27,LMAN2L,KLF4,FUT4,FCGR1A,CYBA,CD9,ARPC2,SIVA1,ERLEC1,KRI1,CD300A,EEF2,NDFIP1,CD69,EEF1B2,TMEM39B,BAG2,CCM2
BTK,SLC26A6,NPDC1,IL1B,IL6R,PABPC1,CFH,HLA-C,NPC2,SDF2L1,NDFIP1,TTC38,RPS13,RPS27,CD4,RPL12,RCSD1,AHI1,NFATC3
HHEX,HLA-DQB1,ID1,SOCS3,CD69,TPP1,ATP1B1,CCL5,UNC93B1,CD40,RPS27,RAP2B,RPS19,TRMT1,FBXL8,PTTG1,PTTG1,IL4R,MS4A6A
CD52,ITGAE,TNFRSF1B,CD40,CD9,TIMP1,CCDC146,ZFP36,PLP2,CXCR4,RPS16,SH3BP5,CXCR4,SGSM3,BCL6,RPS8,HBEGF,MICAL2,STAT5A
RPS13,ID2,CD40,CD33,PTGS1,ARHGDIB,TGFBI,CTSW,STMN1,LMAN1,FCF1,SLC2A1,RGS1,EEF2,MAP9,RPL37,CUEDC2,CXCR4,RNF214
RPS4X,NUDT9,CD151,FCGR2B,CPM,CSTA,WDR91,BIN2,CD68,TMED9,RSL1D1,GLUL,EEF1B2,MBP,TCF7,NDUFA1,STAT1,DUSP6,BANP
ITGB1,IRF8,HYAL2,,RAB27B,MAFB,,UBB,PLAC8,KDELR2,RPAP2,LLGL2,RPL12,SUN2,PASK,RPL35,POLD2,SMAD2,BATF
CYBA,,ANPEP,,SPN,CEBPD,,DUSP2,SERPINF1,SPATS2,RPS13,RPL30,RPS8,SYNE2,DGKA,RPS3,IRF1,RAD50,GZMM
