Connective tissue cells,Adipocytes,Immune cells,Cancer
CD68,CD34,CD86,ITK
POSTN,VCAM1,PTPRC,ARHGAP10
PDGFRB,ITGB1,ANPEP,EDNRA
PDGFRA,PTPRC,CD14,SELP
CD14,CD34,CD209,TLL1
CSF1R,CD44,CD83,SEMA6A
KRT19,NT5E,NCAM1,CDH5
KRT8,CD44,CD274,CPNE1
,THY1,CD8A,TPST2
,GREM1,CD19,CRYBB2
,PLIN1,NKG7,SULF2
,RBP4,KIR2DL4,KLRF1
,LEP,CSF1R,SELE
,ADIPOQ,,ALPI
,,,FAM177A1
,,,ADH1B
,,,AKR1A1
,,,CAMK1D
,,,CHST15
,,,GOLM1
,,,ISLR2
,,,CD36
,,,PRDM1
,,,B3GNT2
,,,TMPRSS11D
,,,STOM
,,,TNS2
,,,MET
,,,VCAM1
,,,JAG1
,,,THSD1
,,,PSD
,,,IL3RA
,,,KIN
,,,BCAM
,,,C1GALT1C1
,,,ENG
,,,RSPO3
,,,DOCK9
,,,NOTCH1
,,,KRT18
,,,KRT7
,,,EPCAM
,,,ERBB2
,,,EPCAM
,,,ESR1
,,,KRT18
,,,KRT19
,,,ERBB2
,,,BRCA1
,,,BRCA2
,,,ERBB2
,,,PDCD1
,,,VIM
,,,MKI67
,,,TRPS1
,,,PIP
,,,NKX2-1
,,,GATA3
,,,EREG
,,,GATA3
,,,CYP3A4
,,,CYP3A5
,,,CYP3A7
,,,ERBB2
,,,ERBB2
,,,STAT1
,,,RIC8A
,,,IRF9
,,,ISG15
,,,STAT2
,,,JAK1
,,,CDH1
,,,CTNNA1
,,,GNA13
,,,OAS1
