SYMBOL	lengths
A1BG	10928
NAT2	2550
ADA	4372
CDH2	14629
AKT3	46958
GAGE12F	773
RNA5-8SN5	153
LINC02584	1502
POU5F1P5	658
ZBTB11-AS1	2743
MED6	8752
NR2E3	4230
NAALAD2	22852
VN2R19P	1119
DUXB	1117
SNORD116-1	95
SNORD116-2	95
SNORD116-3	95
SNORD116-4	96
SNORD116-5	95
SNORD116-6	96
SNORD116-7	95
SNORD116-8	95
SNORD116-9	95
SNORD116-10	102
SNORD116-11	92
SNORD116-12	92
SNORD116-13	92
SNORD116-14	92
SNORD116-15	92
SNORD116-16	92
SNORD116-17	92
SNORD116-18	92
SNORD116-20	1328
SNORD116-21	92
SNORD116-22	92
SNORD116-23	92
SNORD116-24	92
SNORD116-25	92
SNORD115-2	82
SNORD116-26	96
SNORD116-27	92
SNORD115-3	82
SNORD115-4	82
SNORD115-5	82
SNORD115-6	82
SNORD115-7	82
SNORD115-8	82
SNORD115-9	82
SNORD115-10	81
SNORD115-11	82
SNORD115-12	82
SNORD115-13	82
SNORD115-14	81
SNORD115-15	81
SNORD115-16	82
SNORD115-17	82
SNORD115-18	82
SNORD115-19	82
SNORD115-20	82
SNORD115-21	81
SNORD115-22	82
SNORD115-23	82
SNORD115-25	82
SNORD115-26	82
SNORD115-29	82
SNORD115-30	82
SNORD115-31	82
SNORD115-32	82
SNORD115-33	82
SNORD115-34	82
SNORD115-35	82
SNORD115-36	82
SNORD115-37	82
SNORD115-38	82
SNORD115-39	82
SNORD115-40	82
SNORD115-41	82
SNORD115-42	82
SNORD115-43	82
SNORD115-44	82
MIR675	146
SNORD116-28	91
SNORD116-29	83
SNORD115-48	76
PDZK1P1	4222
SNORD115-24	82
SNORD115-27	82
SNORD115-28	81
SNORD115-45	81
SNORD115-47	86
DDTL	3127
TLX1NB	2627
NAALADL1	11911
CDKN2B-AS1	27618
GUSBP17	6825
SIGLEC14	2237
NINJ2-AS1	13504
ACOT8	9673
ABI1	10246
GNPDA1	9172
MIMT1	2467
KCNE3	5224
ZBTB33	5479
SNHG8	9175
GTF2IP4	3668
GS1-600G8.3	2249
CDH3	8137
TANK	11809
TTTY21B	496
TTTY1B	910
TTTY2B	5990
TTTY8B	708
TTTY7B	1830
TTTY23B	915
LOC100101148	468
HAVCR1P1	1056
POM121C	12148
SPDYE12	825
PMS2P7	1336
ZSCAN30	20520
ANKRD26P3	5858
SRA1	4927
SNORD121A	82
SNORD125	206
SNORD19B	84
SNORD105B	79
SNORD123	70
UCKL1-AS1	3602
SNORD127	86
SNORD126	77
SNORD11B	90
SNORD12B	91
SNORD111B	80
LIN28B-AS1	6552
LINC00583	387
TMEM170B	8891
FAM138E	3554
SNORD58C	64
SNORA84	133
SNORA36C	132
SNORA38B	131
SNORA70B	135
SNORA70C	603
SNORA11B	129
SNORA11C	129
SNORA11D	128
HOTAIR	4058
ZGLP1	3352
FAM86JP	5912
FMR1-AS1	4672
MIR298	88
MIR300	83
VTRNA2-1	229
MIR509-2	91
MIR450B	78
MIR890	77
MIR891B	79
MIR888	77
MIR892B	77
MIR541	84
MIR875	76
MIR876	81
MIR147B	80
MIR744	98
MIR877	86
MIR665	72
MIR873	77
MIR374B	72
MIR301B	78
MIR216B	82
MIR920	75
MIR922	81
MIR924	53
MIR934	83
MIR935	91
MIR936	98
MIR938	83
MIR940	94
MIR941-1	72
MIR941-4	72
MIR942	86
MIR943	94
MIR708	88
MIR885	74
MIR543	78
MIR208B	77
MIR509-3	75
MIR937	86
MIR941-2	72
MIR944	88
MIR891A	79
MIR892A	75
MIR874	78
MIR889	79
MIR190B	79
MIR887	79
MIR760	80
MIR921	56
MIR933	77
MIR939	164
MIR941-3	72
MIR297	66
MIR365A	87
MIR365B	111
GJE1	916
LINC00322	699
NAV2-AS6	1686
EGOT	1464
GHRLOS	6781
MINAR2	2339
SLCO4A1-AS1	2878
HECW1-IT1	1839
LOC100127955	4764
KRT73-AS1	4870
C8orf88	1041
LOC100128002	2697
ARHGAP44-AS1	3679
DPPA2P3	655
WWTR1-AS1	1700
PLCE1-AS1	5008
SMARCA5-AS1	945
LOC100128059	2272
FAM229A	4266
LOC100128076	1863
LOC100128079	6887
JAZF1-AS1	11472
ST8SIA6-AS1	2887
LOC100128108	1218
HGC6.3	757
STAU2-AS1	2618
ADGRA1-AS1	9635
LINC01233	1521
LOC100128164	9533
UST-AS1	714
TMPO-AS1	4095
LINC02324	3861
LINC02731	16533
ZNF667-AS1	17795
LOC100128253	8223
WASIR1	2108
TNK2-AS1	2096
HTR5A-AS1	10519
DNM1P35	3188
DLG5-AS1	4388
LOC100128310	2000
LOC100128317	11508
LOC100128325	1349
TRAPPC3L	3422
LOC100128340	9014
FAM225B	15261
ARHGAP42-AS1	1865
LOC100128398	18603
LINC00892	4387
LOC100128494	4233
SCP2D1-AS1	738
ASTN2-AS1	1756
NEBL-AS1	1123
KIAA1671-AS1	957
MIR29B2CHG	21531
CTAGE4	4919
LINC02347	19484
MYHAS	4606
RANBP3-DT	639
C19orf71	762
SLC8A1-AS1	13143
TMSB15B-AS1	7309
CDC42P3	633
ACVR2B-AS1	2517
HPN-AS1	8558
LINC01531	5921
GPR50-AS1	1620
LINC02346	10162
OST4	1321
RBPMS-AS1	2426
LOC100128770	3061
LINC00476	14631
LINC01349	497
SRRM2-AS1	8577
GPR158-AS1	2433
LPEQ6126	2758
LINC01003	1764
VPS9D1-AS1	2684
ZFPM1-AS1	733
LOC100128885	1285
FAM66B	23437
GATA6-AS1	2583
LINC01960	1884
LMLN2	5613
ZBTB42	5023
LINC01310	6341
LOC100128966	850
MAPT-AS1	16997
LOC100128993	1589
PCBP3-AS1	5034
PKP4-AS1	6109
BCAR3-AS1	2415
CCNYL4	1660
